Majority protein IDs,Protein ID,logFC,Foldchange,PValue,FDR,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
A6N6J5,A6N6J5,1.396490719,2.632604353,0.37376108,0.999921583,Wdr35,0,0,0,0,13747000,2749400,11768000,11154000,0,13254000,0,7235200,0,0,2,0,3,1,2,2,0,4,0,1.6
A8WCF8;A0A0G2K272,A8WCF8,1.174977652,2.257893834,0.451840964,0.999921583,Tprg1l,14556000,16465000,0,0,15240000,9252200,22760000,23550000,33311000,24936000,0,20911400,4,3,3,0,3,2.6,3,4,3,2,0,2.4
A9CMB7;P15178,A9CMB7,-0.284232466,0.821178371,0.853773545,0.999921583,Dars,1754500000,1294700000,1338300000,1008300000,951590000,1269478000,1140100000,1106700000,1041900000,1022400000,892250000,1040670000,54,81,76,70,75,71.2,65,68,68,57,48,61.2
A9CMB8;A9CMC9,A9CMB8,-0.765689994,0.588171998,0.621285524,0.999921583,Mcm6,130880000,159850000,196020000,197390000,181780000,173184000,82960000,99720000,113460000,115740000,96783000,101732600,15,20,24,27,20,21.2,7,10,12,12,6,9.4
A9UMV2;A0A0G2K9G3,A9UMV2,-1.095171918,0.468080342,0.482396248,0.999921583,Mrps24,15663000,11864000,14516000,14288000,17254000,14717000,12073000,10845000,0,11600000,0,6903600,4,5,3,3,3,3.6,2,4,0,2,0,1.6
A9UMW1;P14942,A9UMW1,-0.286568433,0.81984982,0.852587432,0.999921583,Gsta4,329150000,318730000,351440000,307710000,300140000,321434000,288300000,279500000,231320000,253860000,261260000,262848000,21,18,22,19,14,18.8,15,17,13,8,12,13
B0BMU7;Q6IUP3,B0BMU7,1.058053424,2.082120296,0.497035145,0.999921583,Elp5,12728000,13475000,0,0,15988000,8438200,16978000,25761000,0,24780000,20058000,17515400,2,3,0,2,3,2,3,4,0,4,3,2.8
B0BMV1;A0A0G2JSU3;Q63945;Q63945-2;D3ZC07,B0BMV1,-0.085388686,0.942530568,0.955812192,0.999921583,Set;Pkn3,615430000,730120000,656150000,677320000,682900000,672384000,633640000,730930000,748800000,526340000,522810000,632504000,33,33,28,20,23,27.4,11,20,17,12,12,14.4
B0BMV5;P70550,B0BMV5,-2.808997071,0.142694628,0.088495644,0.999921583,Rab8b,33807000,27740000,32857000,38882000,36504000,33958000,23955000,0,0,0,0,4791000,5,4,4,3,4,4,3,2,2,2,3,2.4
B0BMV8;Q920D2,B0BMV8,-1.182167143,0.44068902,0.449150681,0.999921583,Dhfr,55935000,59617000,54683000,54045000,54786000,55813200,41813000,39698000,0,0,40340000,24370200,6,4,6,3,3,4.4,3,3,2,3,3,2.8
B0BMW0;P61107,B0BMW0,0.017450558,1.012169255,0.990964447,0.999921583,Rab14,286120000,267020000,287800000,263530000,264720000,273838000,306130000,351410000,206700000,263790000,254830000,276572000,22,16,21,14,17,18,22,15,13,9,8,13.4
B0BMW2;O70351,B0BMW2,-0.208074919,0.865691609,0.892633038,0.999921583,Hsd17b10,405170000,337810000,336860000,354010000,319490000,350668000,363520000,314090000,247110000,325340000,265080000,303028000,35,31,29,23,24,28.4,25,30,16,15,18,20.8
B0BMW4;P63095;B4F771;P63095-2;M0R9J4,B0BMW4,-0.107463914,0.928218326,0.944407446,0.999921583,Gnas,114220000,95699000,97096000,110450000,103450000,104183000,86356000,102920000,102970000,97196000,93370000,96562400,13,16,14,10,10,12.6,6,12,10,13,10,10.2
B0BMX3,B0BMX3,-0.723034648,0.605821781,0.640644961,0.999921583,S100a16,152110000,176800000,196320000,179870000,165530000,174126000,123850000,75361000,101270000,110920000,114320000,105144200,13,14,18,12,12,13.8,8,12,7,5,5,7.4
B0BMY2;Q5U211,B0BMY2,-0.154966329,0.898153335,0.919913778,0.999921583,LOC684097;Snx3,122180000,99961000,109260000,92728000,95449000,103915600,107480000,91570000,79001000,88936000,98289000,93055200,13,15,15,7,6,11.2,10,9,8,3,8,7.6
B0BMY7,B0BMY7,-0.226200925,0.85488311,0.883352995,0.999921583,Twf2,14316000,11470000,0,0,12168000,7590800,0,0,15376000,17314000,0,6538000,3,6,0,0,3,2.4,0,0,3,2,0,1
B0BN18,B0BN18,-0.312414215,0.805293049,0.839489929,0.999921583,Pfdn2,38604000,39283000,0,36678000,39669000,30846800,44661000,38073000,0,41778000,0,24902400,5,3,2,2,4,3.2,3,3,0,3,0,1.8
B0BN30;A0A1W2Q6G8,B0BN30,-1.283640542,0.410757681,0.412290769,0.999921583,Mtch1,60730000,69795000,47552000,56506000,55239000,57964400,53168000,65552000,0,0,0,23744000,7,12,6,7,9,8.2,2,5,3,2,0,2.4
B0BN46,B0BN46,-1.358834295,0.389897202,0.386328903,0.999921583,Grhpr,47769000,57983000,31247000,33500000,28282000,39756200,20836000,16211000,0,22119000,18096000,15452400,10,14,6,4,6,8,5,2,0,3,3,2.6
B0BN52;A0A0G2K459;A0A0G2K7P7,B0BN52,-0.278461561,0.824469734,0.8567054,0.999921583,Mtch2,427490000,386700000,369850000,367420000,387670000,387826000,322360000,340270000,310350000,318770000,303830000,319116000,50,42,49,36,37,42.8,26,36,23,21,20,25.2
B0BN55;P32362,B0BN55,0.213729242,1.159681991,0.889736408,0.999921583,Urod,49662000,52576000,32786000,43597000,48665000,45457200,49025000,59957000,66303000,51495000,36613000,52678600,11,9,4,4,10,7.6,7,10,6,4,5,6.4
B0BN63,B0BN63,-0.1241917,0.917517958,0.935773873,0.999921583,Ahsa1,661160000,953580000,797640000,695950000,723910000,766448000,657010000,814790000,791860000,614500000,629830000,701598000,16,16,20,8,12,14.4,8,12,14,8,8,10
B0BN81;P24050;A0A0G2K200,B0BN81,-0.004872178,0.99662856,0.997477226,0.999921583,Rps5,830610000,793940000,877070000,746170000,773330000,804224000,868600000,7.26E+08,663680000,809240000,926820000,798868000,65,57,71,51,54,59.6,56,50,47,44,43,48
B0BN85;Q7TQ12;F1LMY6,B0BN85,0.34310708,1.268485546,0.824002346,0.999921583,Sugt1,80128000,90013000,77373000,111330000,93481000,90465000,104810000,110750000,136450000,120820000,100320000,114630000,17,14,15,15,12,14.6,16,15,17,16,10,14.8
B0BN93,B0BN93,0.10362153,1.074467265,0.94639168,0.999921583,Psmd13,570980000,564570000,551790000,617630000,572820000,575558000,502730000,608190000,768690000,645980000,563070000,617732000,53,49,45,35,34,43.2,37,51,33,39,33,38.6
B0BN97;Q498E0,B0BN97,-0.096567192,0.935255732,0.95003557,0.999921583,Txndc12,56543000,64218000,67209000,61746000,48776000,59698400,65503000,55188000,44742000,53926000,58938000,55659400,11,10,8,3,5,7.4,9,7,3,6,5,6
B0BN99,B0BN99,-0.408086039,0.753622509,0.791478776,0.999921583,Hmgb3,81215000,89384000,81976000,85881000,79417000,83574600,72381000,65183000,56175000,64509000,56002000,62850000,13,9,12,7,9,10,5,7,5,5,4,5.2
B0BNA5,B0BNA5,-0.322322052,0.799781574,0.83448239,0.999921583,Cotl1,85325000,87016000,87731000,74847000,75243000,82032400,64138000,52166000,66548000,62729000,81275000,65371200,9,8,7,7,6,7.4,4,5,3,2,6,4
B0BNA7;M0RCH0,B0BNA7,0.315188097,1.244173857,0.83808728,0.999921583,Eif3i,238880000,261720000,247710000,256900000,258150000,252672000,301760000,344900000,329930000,300290000,291890000,313754000,27,25,25,16,18,22.2,27,30,21,19,22,23.8
B0BNB0,B0BNB0,-1.147708185,0.451341648,0.462139305,0.999921583,Golt1b,22458000,21617000,22537000,18559000,24409000,21916000,34481000,0,0,0,14271000,9750400,3,3,3,2,3,2.8,3,2,2,0,3,2
B0BNB2;D3ZU54,B0BNB2,0.166082286,1.122007474,0.914193584,0.999921583,Denr,23937000,18169000,18945000,20101000,19211000,20072600,21088000,23214000,22056000,21912000,24100000,22474000,6,5,6,4,5,5.2,5,5,4,2,3,3.8
B0BNB9,B0BNB9,-0.838864327,0.5590835,0.588766369,0.999921583,Htra2,12740000,15779000,10814000,15550000,0,10976600,14623000,0,15949000,0,0,6114400,3,4,0,3,0,2,2,2,3,2,0,1.8
B0BNE3,B0BNE3,0.182742826,1.135039753,0.905629774,0.999921583,Trappc5,14763000,13357000,13488000,0,10863000,10494200,15106000,14998000,14003000,15500000,0,11921400,4,3,5,2,3,3.4,3,3,2,2,0,2
B0BNE5,B0BNE5,-0.275996801,0.825879496,0.857958289,0.999921583,Esd,153480000,148270000,133060000,158640000,154410000,149572000,143810000,137690000,117960000,94844000,121500000,123160800,14,13,15,13,10,13,10,15,10,5,9,9.8
B0BNE6,B0BNE6,-1.005930992,0.497948694,0.51804032,0.999921583,Ndufs8,66473000,56456000,60814000,52403000,57320000,58693200,58489000,50866000,36402000,0,0,29151400,11,9,8,6,7,8.2,6,5,3,0,6,4
B0BNF5;Q91XU1;A0A0G2JUS0;D4A2X0;F1LMH5;A0A0G2JXZ5,B0BNF5,-0.201991405,0.869349739,0.895751363,0.999921583,Qk;Qki;LOC100910212,609050000,703210000,588460000,628950000,667330000,639400000,517900000,595900000,575020000,534700000,549610000,554626000,45,48,43,36,43,43,30,39,24,27,22,28.4
B0BNF6,B0BNF6,-2.589685384,0.16612195,0.113065523,0.999921583,5-Mar,23234000,19399000,25834000,27121000,24531000,24023800,0,20054000,0,0,0,4010800,6,5,3,3,4,4.2,2,3,0,0,0,1
B0BNG0;A0A0A0MXU4,B0BNG0,-0.180990255,0.882097323,0.906530072,0.999921583,Emc2,84327000,73303000,68243000,79067000,69097000,74807400,68211000,78680000,62677000,62318000,57554000,65888000,11,9,9,6,7,8.4,8,6,5,5,3,5.4
B0BNG3,B0BNG3,0.031770667,1.022266017,0.983550709,0.999921583,Lman2,189140000,181820000,143120000,167110000,166040000,169446000,167730000,197010000,172680000,177530000,149990000,172988000,28,18,26,16,16,20.8,20,21,14,10,10,15
B0BNI9;Q9QZG1,B0BNI9,-2.185691046,0.219806957,0.174410012,0.999921583,Slc22a23,0,21267000,19399000,18350000,15657000,14934600,16203000,0,0,0,0,3240600,0,5,2,3,2,2.4,2,0,0,0,0,0.4
B0BNJ1,B0BNJ1,0.250920876,1.189966431,0.870727545,0.999921583,Sri,101930000,90459000,114260000,98189000,91485000,99264600,143300000,118860000,93970000,111330000,121350000,117762000,12,12,14,11,11,12,12,14,8,8,10,10.4
B0BNJ4,B0BNJ4,-0.239194604,0.847218147,0.876712246,0.999921583,Ethe1,30890000,31081000,27192000,26979000,28419000,28912200,38133000,24800000,0,28275000,30701000,24381800,6,8,7,4,4,5.8,4,3,2,5,3,3.4
B0BNJ5;P69736,B0BNJ5,0.695452881,1.619392702,0.653313967,0.999921583,Edf1,6653000,6653000,0,0,0,2661200,9367200,0,0,0,11824000,4238240,2,2,0,0,0,0.8,3,0,0,0,2,1
B0BNK1,B0BNK1,-0.119055516,0.920790264,0.938423905,0.999921583,Rab5c,719300000,638540000,668040000,609040000,628750000,652734000,675130000,623040000,535840000,444170000,714910000,598618000,54,38,47,27,41,41.4,42,28,27,20,36,30.6
B0BNK6;A0A0A0MXW1;P35738,B0BNK6,-0.192776648,0.874920206,0.90047821,0.999921583,Bckdhb,84273000,80724000,78310000,82372000,74267000,79989200,72870000,72586000,83280000,66338000,54374000,69889600,10,12,11,8,8,9.8,9,6,6,7,5,6.6
B0BNL2,B0BNL2,-0.583868091,0.667172583,0.705709639,0.999921583,LOC364561,32534000,24506000,30203000,33480000,25756000,29295800,35840000,33647000,28084000,0,0,19514200,8,5,6,4,2,5,3,3,4,5,0,3
B0BNL8;G3V648,B0BNL8,-0.449696163,0.732197035,0.770863205,0.999921583,Agpat3,79166000,57197000,51719000,63369000,48954000,60081000,44870000,48675000,50901000,37861000,37359000,43933200,12,9,8,10,8,9.4,6,6,5,5,5,5.4
B0BNM1,B0BNM1,-0.521093528,0.696843442,0.735924751,0.999921583,Apoa1bp,104930000,93292000,111480000,102700000,1.05E+08,103480400,97513000,91910000,95391000,76293000,0,72221400,11,7,9,7,8,8.4,7,4,5,4,4,4.8
B0BNM3;M0R9L3,B0BNM3,-1.058522418,0.480123542,0.496848254,0.999921583,Snx9,16414000,17437000,16926000,18227000,15345000,16869800,19654000,20714000,0,0,0,8073600,3,2,4,3,4,3.2,2,2,0,0,0,0.8
B0BNM9,B0BNM9,-0.145766735,0.903898864,0.924651422,0.999921583,GLTP,26768000,27028000,24623000,26816000,33036000,27654200,35462000,24747000,23935000,16798000,23535000,24895400,4,4,3,4,4,3.8,5,4,5,3,2,3.8
B0K008;B5DFN1,B0K008,0.337427868,1.26350193,0.826862407,0.999921583,Eif1;Eif1b,73372000,69814000,81209000,77821000,65945000,73632200,103280000,79832000,82917000,103360000,94702000,92818200,6,4,8,5,4,5.4,5,6,5,4,7,5.4
B0K010,B0K010,0.317191384,1.245902683,0.837074594,0.999921583,Txndc17,36964000,33255000,40635000,34303000,33690000,35769400,50591000,36248000,51369000,42490000,41562000,44452000,2,4,4,2,2,2.8,4,3,2,4,4,3.4
B0K014;D4A9K3,B0K014,-0.318379939,0.801969937,0.836473911,0.999921583,Dtd1,26701000,23122000,27591000,22154000,19463000,23806200,18652000,20387000,15485000,19581000,21115000,19044000,2,2,2,2,2,2,2,2,2,2,2,2
B0K017,B0K017,0.122651942,1.088734321,0.936568233,0.999921583,Adprhl2,99825000,113840000,93276000,112750000,108520000,105642200,99857000,116800000,121270000,113110000,122770000,114761400,18,16,15,15,15,15.8,11,13,13,10,8,11
B0K020,B0K020,-0.935369049,0.52290869,0.547293507,0.999921583,Cisd1,51865000,52962000,62588000,45610000,54746000,53554200,44331000,23068000,38481000,0,33092000,27794400,4,5,4,4,4,4.2,5,3,3,0,4,3
B0K030;D3ZUU5,B0K030,-0.188983337,0.877223681,0.902425093,0.999921583,Dnajb1,13104000,11926000,12444000,19002000,17100000,14715200,14329000,17655000,0,14155000,18179000,12863600,3,2,3,2,2,2.4,4,6,0,3,5,3.6
B0K031;P05426;B0K023,B0K031,0.003177375,1.002204816,0.998354779,0.999921583,Rpl7,1365700000,1359300000,1409500000,1374500000,1516500000,1405100000,1465400000,1535800000,1313900000,1299100000,1408600000,1404560000,50,58,46,37,42,46.6,48,43,33,29,36,37.8
B1H227,B1H227,-0.468247194,0.722842284,0.761730326,0.999921583,Rcc1,206560000,197560000,199050000,195910000,184690000,196754000,140570000,133620000,140660000,159400000,135650000,141980000,24,22,25,17,14,20.4,10,10,12,12,7,10.2
B1H264,B1H264,-0.461129599,0.726417267,0.765230007,0.999921583,Tbc1d17,47449000,61064000,58509000,51629000,55480000,54826200,43009000,44162000,39662000,33169000,38526000,39705600,3,5,8,9,5,6,4,4,3,5,4,4
B1H267,B1H267,-0.404957885,0.75525834,0.793035588,0.999921583,Snx5,111350000,103880000,98298000,106240000,117020000,107357600,69882000,76257000,94836000,82175000,81511000,80932200,15,26,13,9,21,16.8,10,10,7,10,5,8.4
B1H2A6,B1H2A6,0.184895582,1.136734697,0.904524129,0.999921583,Fxr2,49157000,47882000,45409000,41993000,55732000,48034600,51876000,51321000,47921000,61458000,59757000,54466600,7,6,6,6,4,5.8,7,10,6,7,6,7.2
B1WBM0;P40241,B1WBM0,1.174090925,2.256506485,0.452173659,0.999921583,Cd9,0,25053000,23701000,29634000,33256000,22328800,52486000,50645000,47347000,49305000,51280000,50212600,3,6,3,3,5,4,5,5,5,5,4,4.8
B1WBN3;F7EV94;P11960;Q5EB89,B1WBN3,0.037717446,1.026488487,0.980472406,0.999921583,Bckdha,117410000,1.49E+08,107700000,131620000,143240000,129794000,115230000,134750000,143850000,137860000,133150000,132968000,20,31,13,14,16,18.8,13,20,8,10,7,11.6
B1WBQ0;O08837,B1WBQ0,0.036116342,1.025349921,0.981301175,0.999921583,Cdc5l,70716000,70285000,72327000,80277000,90976000,76916200,76102000,83941000,72178000,78333000,82840000,78678800,8,13,11,7,15,10.8,8,7,4,9,6,6.8
B1WBS4,B1WBS4,0.088770408,1.063463419,0.954064352,0.999921583,Vps26b,143260000,137120000,113080000,165190000,149480000,141626000,133910000,150560000,167450000,155100000,145020000,150408000,29,23,15,17,14,19.6,17,20,20,9,10,15.2
B1WBW4,B1WBW4,-1.134141923,0.455605819,0.46731804,0.999921583,Armc10,28646000,24077000,21424000,23268000,20241000,23531200,0,20871000,15431000,17694000,0,10799200,5,6,6,3,5,5,2,3,0,2,4,2.2
B1WBY1,B1WBY1,0.465537518,1.380831727,0.763062007,0.999921583,Cul1,50358000,102540000,98469000,113250000,99315000,92786400,118350000,123070000,133540000,142440000,1.22E+08,127880000,4,13,14,22,10,12.6,10,12,13,21,15,14.2
B1WC02,B1WC02,0.151032346,1.110363728,0.92193933,0.999921583,Ctps1,59006000,75029000,76609000,63551000,73772000,69593400,75661000,81357000,75879000,74418000,77998000,77062600,10,13,9,6,8,9.2,8,8,5,6,8,7
B1WC16,B1WC16,0.33699369,1.263121737,0.827081168,0.999921583,Bclaf1,46287000,66013000,58431000,83104000,71775000,65122000,70410000,71888000,95249000,84394000,88477000,82083600,2,4,4,8,5,4.6,4,3,6,7,3,4.6
B1WC26,B1WC26,0.192864705,1.143031138,0.90043302,0.999921583,Nans,102650000,124250000,88462000,100040000,105920000,104264400,105890000,122830000,124750000,125780000,115530000,118956000,17,18,12,11,7,13,15,13,12,7,7,10.8
B1WC28,B1WC28,-0.014159801,0.990233182,0.992668275,0.999921583,H2afy2,98141000,88870000,106690000,117120000,112610000,104686200,95147000,127200000,85897000,107340000,101930000,103502800,26,16,22,16,21,20.2,14,13,10,8,6,10.2
B1WC32;F1LS72,B1WC32,-0.100826228,0.932498799,0.947835434,0.999921583,Uba2,411360000,445340000,470090000,492330000,463370000,456498000,387780000,396360000,456110000,459490000,424770000,424902000,23,30,25,32,24,26.8,21,21,22,21,19,20.8
B1WC34,B1WC34,0.1485055,1.108420655,0.923240674,0.999921583,Prkcsh,482180000,612010000,667120000,532770000,640620000,586940000,667290000,792070000,641140000,511200000,631230000,648586000,23,29,31,38,30,30.2,30,35,36,29,34,32.8
B1WC40,B1WC40,-1.499295865,0.353725991,0.340931439,0.999921583,Ncbp2,15497000,0,20025000,0,17230000,10550400,18428000,0,0,0,0,3685600,4,0,4,0,2,2,2,0,0,0,0,0.4
B1WC49,B1WC49,-0.230892388,0.852107652,0.880954444,0.999921583,Api5,325520000,258890000,262770000,205070000,205990000,251648000,258780000,231950000,206970000,196850000,175350000,213980000,10,16,19,16,18,15.8,14,21,18,18,16,17.4
B1WC61,B1WC61,-0.455042927,0.729488466,0.768227139,0.999921583,Acad9,685790000,549890000,532130000,387790000,405970000,512314000,407950000,389590000,357520000,327720000,380510000,372658000,23,50,56,55,51,47,32,36,36,34,25,32.6
B1WC73,B1WC73,-0.25624559,0.837263948,0.868012514,0.999921583,Arl6,10530000,9182300,10708000,10073000,9610100,10020680,11948000,10257000,0,10438000,9179600,8364520,4,3,3,2,2,2.8,3,2,0,3,2,2
B2CZC8;P31424-2;P31424;A0A0H2UHW6;A0A0H2UHN1,B2CZC8,-1.605523983,0.328616316,0.309267744,0.999921583,Grm5,58430000,58827000,50719000,62269000,63684000,58785800,38742000,0,0,58212000,0,19390800,6,9,5,10,10,8,2,0,0,6,0,1.6
B2GUU4;Q3MIB4;Q6TXI3;F7FF30,B2GUU4,-2.093923668,0.234242755,0.191752954,0.999921583,Lonp2,0,24992000,26523000,23208000,27358000,20416200,0,0,0,24217000,0,4843400,0,5,2,7,4,3.6,0,0,0,2,2,0.8
B2GUX3;A0A0G2JY07,B2GUX3,-2.655361788,0.158729063,0.105135988,0.999921583,Mcm5,138860000,223080000,218780000,267850000,274610000,224636000,50727000,32131000,34536000,22534000,37500000,35485600,11,23,19,25,25,20.6,4,4,3,6,7,4.8
B2GUZ3,B2GUZ3,-0.132918597,0.911984622,0.931273081,0.999921583,Mthfd1l,218400000,242840000,252530000,272030000,275850000,252330000,198250000,228510000,249050000,260900000,212450000,229832000,10,21,20,26,25,20.4,12,17,9,23,14,15
B2GUZ5,B2GUZ5,0.290864393,1.223373044,0.850407106,0.999921583,Capza1,263290000,257170000,223550000,277450000,294920000,263276000,298800000,323150000,319820000,321240000,343780000,321358000,25,18,18,15,17,18.6,18,17,17,16,16,16.8
B2GUZ7,B2GUZ7,0.783041929,1.720755271,0.613493384,0.999921583,Tbcc,11672000,0,15203000,0,0,5375000,12187000,19192000,14857000,0,0,9247200,2,2,4,0,0,1.6,3,3,3,0,0,1.8
B2GUZ9,B2GUZ9,0.183539954,1.135667066,0.905220359,0.999921583,Fam49b,116280000,122450000,97327000,116730000,124540000,115465400,124600000,127880000,118840000,170030000,113750000,131020000,20,17,18,11,12,15.6,14,14,13,13,8,12.4
B2GV01,B2GV01,-0.257689104,0.836426628,0.867277043,0.999921583,Mta2,151060000,1.71E+08,187510000,176710000,179470000,173150000,147120000,161870000,141980000,126440000,144780000,144438000,11,19,20,16,20,17.2,10,10,11,13,16,12
B2GV06,B2GV06,-0.529223457,0.692927608,0.731983907,0.999921583,Oxct1,428360000,378180000,351560000,342360000,324360000,364964000,213610000,267910000,289280000,256800000,235190000,252558000,28,35,32,33,27,31,17,16,18,16,14,16.2
B2GV15,B2GV15,-0.115035376,0.923359669,0.940498656,0.999921583,Dbt,75105000,73438000,80217000,73683000,63540000,73196600,58857000,64269000,70167000,71565000,72383000,67448200,14,16,14,13,13,14,10,8,9,12,8,9.4
B2GV24;A0A0G2K266,B2GV24,0.050268648,1.035457721,0.97397653,0.999921583,Ufl1,40550000,50968000,39701000,54809000,55827000,48371000,45436000,40455000,62284000,51455000,50282000,49982400,6,8,7,10,8,7.8,6,2,7,7,4,5.2
B2GV33;G3V9Z3;P21396,B2GV33,-0.397274206,0.759291516,0.79686357,0.999921583,Maoa,352750000,296500000,279540000,185140000,221240000,267034000,220140000,208610000,199450000,173910000,208520000,202126000,19,22,27,20,16,20.8,12,17,16,12,16,14.6
B2GV41,B2GV41,-0.358141731,0.780168832,0.816443856,0.999921583,Usp39,79839000,89706000,100270000,54464000,95006000,83857000,75633000,71025000,63547000,60421000,55525000,65230200,9,7,9,10,9,8.8,7,5,7,8,5,6.4
B2GV72,B2GV72,-1.240892517,0.42311082,0.427564725,0.999921583,Cbr3,77462000,91994000,63466000,56333000,62572000,70365400,25174000,34231000,26069000,25991000,36877000,29668400,10,10,8,4,7,7.8,3,3,6,2,3,3.4
B2GV73,B2GV73,-0.093627182,0.937163595,0.951554577,0.999921583,Arpc3,141300000,148420000,168060000,119300000,138730000,143162000,166280000,105970000,104240000,150350000,141740000,133716000,13,13,12,9,9,11.2,15,10,6,11,10,10.4
B2GV92;P83868,B2GV92,-0.008553405,0.994088772,0.995571135,0.999921583,Ptges3,413510000,381250000,467660000,381910000,424400000,413746000,499170000,406480000,377020000,360360000,406850000,409976000,19,16,17,14,14,16,18,19,15,14,13,15.8
B2GVB4;Q9QZR6-2;Q9QZR6-3;Q9QZR6-4,B2GVB4,0.270016494,1.205821613,0.860999899,0.999921583,9-Sep,404570000,423110000,415760000,332760000,334330000,382106000,498030000,552550000,411950000,388690000,446050000,459454000,27,32,28,29,30,29.2,28,33,30,35,28,30.8
B2GVB7;P13676;G3V9E4,B2GVB7,0.267584269,1.203790444,0.862237616,0.999921583,Apeh,98800000,110850000,114610000,110290000,111510000,109212000,135840000,130790000,128900000,106980000,152440000,130990000,9,15,12,10,10,11.2,14,14,12,12,9,12.2
B2RYB3;A0A0G2K4F6,B2RYB3,0.165253896,1.121363406,0.914619697,0.999921583,Srrm1,25702000,26582000,26585000,26059000,30302000,27046000,30103000,20457000,33468000,31985000,35154000,30233400,3,3,2,4,6,3.6,3,4,5,6,3,4.2
B2RYC9,B2RYC9,-0.268109487,0.830407002,0.861970309,0.999921583,Gba,137370000,152770000,151250000,84324000,127110000,130564800,136100000,122760000,120360000,82699000,78607000,108105200,4,11,12,16,7,10,8,10,10,6,9,8.6
B2RYD7;Q7TQ74,B2RYD7,0.109298574,1.078703652,0.943460153,0.999921583,Stt3b,149550000,162330000,157980000,1.55E+08,165550000,158082000,167860000,173370000,172850000,172010000,164680000,170154000,8,12,13,13,11,11.4,13,10,13,14,13,12.6
B2RYF6,B2RYF6,0.055481528,1.039205901,0.971279155,0.999921583,Clptm1,44620000,50727000,56218000,47372000,66111000,53009600,55412000,60520000,63587000,45255000,49932000,54941200,6,8,5,4,4,5.4,3,4,2,5,6,4
B2RYF7;A0A0G2K6R7,B2RYF7,0.532472462,1.446405894,0.730411153,0.999921583,Wash1,18485000,24229000,24005000,23839000,0,18111600,33637000,29259000,23425000,26967000,17575000,26172600,2,4,2,2,2,2.4,3,2,3,3,4,3
B2RYG2;F1LQJ7,B2RYG2,-0.701923162,0.614752174,0.650332038,0.999921583,Pck2,66107000,108290000,68824000,47654000,87947000,75764400,69801000,43457000,32311000,42716000,43505000,46358000,7,21,14,10,12,12.8,6,5,3,7,7,5.6
B2RYG6,B2RYG6,0.233588773,1.175756064,0.879576256,0.999921583,Otub1,499260000,497670000,424030000,403380000,416470000,448162000,532340000,543610000,460640000,502140000,588080000,525362000,40,34,33,29,29,33,41,34,29,33,29,33.2
B2RYI0,B2RYI0,0.454148802,1.369974274,0.768667488,0.999921583,Wdr91,10574000,0,14081000,0,0,4931000,13881000,19834000,0,0,0,6743000,2,0,2,0,0,0.8,3,5,0,0,0,1.6
B2RYI2,B2RYI2,0.140540716,1.102318183,0.927344112,0.999921583,Srp68,99899000,122320000,125450000,95151000,116800000,111924000,143960000,126290000,107600000,114850000,122130000,122966000,6,12,8,11,11,9.6,10,13,12,11,8,10.8
B2RYJ1,B2RYJ1,0.169194868,1.124430793,0.912592766,0.999921583,Anapc2,44097000,41337000,43749000,55063000,47482000,46345600,46779000,52054000,54197000,51264000,55750000,52008800,4,10,8,10,8,8,5,5,5,8,9,6.4
B2RYJ3,B2RYJ3,0.032876241,1.023049705,0.982978395,0.999921583,Cul4a,41899000,61734000,62943000,73500000,64523000,60919800,45954000,73167000,58310000,69900000,63873000,62240800,5,10,9,11,10,9,6,9,8,11,6,8
B2RYJ7,B2RYJ7,0.14372849,1.104756554,0.925701507,0.999921583,Actr1b,103220000,75595000,87205000,88279000,78609000,86581600,96015000,100230000,90524000,98495000,92213000,95495400,13,10,9,8,4,8.8,5,6,7,5,6,5.8
B2RYK3;P18297;D3ZT59,B2RYK3,-1.635805673,0.321790653,0.300656942,0.999921583,Spr,22150000,19962000,25713000,0,27713000,19107600,0,0,0,31123000,0,6224600,4,2,5,0,3,2.8,0,0,0,3,0,0.6
B2RYL4,B2RYL4,0.819478477,1.764767927,0.597293986,0.999921583,Armc6,12581000,0,0,0,12258000,4967800,14289000,15907000,13605000,0,0,8760200,4,3,0,2,2,2.2,2,5,3,2,0,2.4
B2RYL7;F7EPZ4,B2RYL7,-1.295454264,0.407407865,0.408135359,0.999921583,Dis3,35920000,29412000,27049000,42392000,37400000,34434600,23985000,24555000,0,0,21053000,13918600,6,6,2,9,8,6.2,2,3,0,3,4,2.4
B2RYN0;D3ZFX4,B2RYN0,0.040070467,1.028164045,0.979254472,0.999921583,Pgm3,913020000,572180000,613950000,572060000,470410000,628324000,664820000,728750000,685080000,621680000,526560000,645378000,31,39,39,37,32,35.6,34,41,30,34,31,34
B2RYN1,B2RYN1,-1.683144,0.31140327,0.287561492,0.999921583,Fn3krp,16621000,16787000,11600000,0,0,9001600,0,14067000,0,0,0,2813400,5,4,2,2,3,3.2,0,3,2,4,0,1.8
B2RYN3,B2RYN3,-0.044529106,0.969606244,0.976946815,0.999921583,Eef1e1,43691000,36336000,47500000,40575000,36649000,40950200,53381000,42962000,24462000,40743000,36462000,39602000,8,5,5,3,5,5.2,7,6,5,6,6,6
